String	Entity	Performance	Usability	Security	Others	Sentiment
"To Tony: The book also has a short discussion on how to choose between wildcard vs type parameter when there is no bound. Essentially, if the type parameter appears only once in a method declaration, use wildcard. See also the ,reverse(List<?>), example from JLS ,java.sun.com/docs/books/jls/third_edition/html "	reverse(List<>)	0	1	0	1	o
"I believe ,Shape s = ..., should be ,T s = ...,, otherwise ,return s;, shouldn't compile."	Shape	0	0	0	1	o
Is the only difference that you call it API key instead of username or is there anything else?	username	0	0	0	1	o
"this was quite helpful. I have an application which needs to support both Username/Password and ApiKey based authentication. I had Username/Password working and after reading your posting was able to get ApiKey working. Unfortunately, I seemed to break the Username/Password. I am suspicious it is the ordering of my filters or my use of the same AuthenticationManager for both Username/Password and ApiKey auth. Any advice?"	AuthenticationManager	0	1	0	0	p
"To PhillipStack You should be able to configure two WebSecurityConfigurerAdapter with different authentication managers  ala: ,stackoverflow.com/questions/33603156 "	WebSecurityConfigurerAdapter	0	1	0	1	o
"If I understood correctly, the APIKey is not private. Anyone using the client can open the developer console and check the header content. Is it right?"	APIKey	0	0	0	1	o
"API keys in general are less secure than, say OAuth.  But they are simpler, which is part of the appeal.  Weather or not this trade-off is worth it depends on your needs and how your application is deployed.  My particular application was an internal application, not accepting connections from the outside world, so the trade-off was worth it in my case.  But I would not, for example, deploy an API key to a mobile application as the sole security mechanism because any user of the application will be able to get that API key."	API	0	1	0	0	p
"How can I combine it with a bearer token filter, such that api keys authorizated requests will get a different group than the token requests. In such a way that I can use it with To PreAuthorize. For example some endpoints will be publicly available with an api key, others are protected behind a login"	To	0	1	1	0	o
"When using ,TransferManager, the following works: ,Upload upload = tm.upload(         new PutObjectRequest(bucketName, key, file, metadata)             .withCannedAcl(CannedAccessControlList.PublicRead));"	TransferManager	0	1	0	0	p
"You both used a wrong import. You need the interface for ,List, from ,java.util.List,."	java.util.List	0	1	0	0	o
"Thank you. Though ""RESTFul Java with JAX-RS"" is quite old and lot of things evolved current past, gives good insight on the concepts. As explained one need to go though multiple resources to get a good understanding on REST."	JAX-RS	0	1	0	0	o
This is one of the best replies I have come across!!	This	0	0	0	0	o
"I know this is an old question but the best resource I have found is ,here,. I find the best way to learn something is to code. This gives you a really good overview of REST and shows you how to code it so you can code along."	REST	0	1	0	1	o
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular."	getRuntime().totalMemory()	0	0	0	0	o
"I've reopened, but maybe you misunderstood me.  ,getRuntime().totalMemory, ,isn't going to work, for what you want to do."	getRuntime().totalMemory	0	1	0	0	o
"To RobertHarvey: To clarify, why do you say ,totalMemory, is not going to work for To MattB? Looking at this question as it is currently phrased, To MattB wants to measure the memory use of his Java program running on a single JVM instance. For this scenario, ,totalMemory - freeMemory, is correct. The results of ,totalMemory, are not affected by other JVM instances (i.e., processes) running on the same machine. And To MattB makes no mention of other programs running inside the same JVM instance as his program. How is ,totalMemory, not correct?"	totalMemory	0	1	0	0	o
"BTW, ,Diff, is ,not, the amount of used memory. It is a measurement of the precision of ,freeMemory,, i.e., the difference between the previously reported amount of ,freeMemory, and the current reported amount. You would expect it to remain fairly constant because it would be odd for the precision of ,freeMemory, to change chaotically."	freeMemory	0	1	0	0	o
"runtime.gc();, is almost unnecessary. It just hints at the JRE to start GC. But should GC be started is up to JRE."	runtime.gc()	0	1	0	0	o
"To RaphaelTeyssandier ,IllegalArgumentException: Missing either To PUT URL or To Url parameter. for method AuthRegisterUserApi.getStatus, and my ,REGISTER_URL = BASE_URL + ""register/"";"	AuthRegisterUserApi.getStatus	0	0	1	0	o
"Can i see the all URL ? And you can try to keep ,To Field, and add above ,To PUT,, ,To FormUrlEncoded"	To	0	0	0	0	o
BASE_URL = http://ip_address:8400/api/	BASE_URL	0	0	0	1	o
"To RaphaelTeyssandier The same error (,Missing either To PUT URL or To Url parameter. for method AuthRegisterUserApi.getStatus,) with ,To Field, and ,To FormUrlEncoded, above ,To PUT"	AuthRegisterUserApi.getStatus)	0	1	1	0	o
"Response.rawResponse = Response{protocol=http/1.1, code=400, message=Bad Request, url=http://ip_address:8400/api/register},. Co this is not working."	Response.rawResponse	0	0	0	1	o
Have try with a different arguments ? Because since you put him in the database you can't reput him ?	Because	0	0	0	1	o
"Trying with different params on app first - response null; on Postman - response ,status = true,. Mindblow..."	params	0	0	0	1	o
"Okay, that's weird, on postman the endpoint is register/ or register ?"	register/	0	0	0	1	o
"""Classes which have public members but which are not intended for external consumption are prominently marked in the class javadoc."" <-- How do you mark them?"	javadoc	0	0	0	1	o
"I would argue that documenting every single method for the sake of thoroughness is a bad idea. It leads to cluttered, poor quality documentation. Code should be self describing as much as possible. Putting docs on that is a waste of time for you and the reader. The increased noise level makes it hard to see the docs that are actually important. The volume of nonsense docs increases the chance of docs becoming obsolete without being updated. ""setName() Sets the name. \To param name The name to set."" ""getName() Gets the name. \To return The name."""	name	0	0	0	0	o
"Right on! Provided that bla is public. You do not want reference to ,internal, algos in your public javadoc."	internalalgos	0	0	0	0	o
"The user needs to know about bla in order to set foo meaningfully. To that extent bla is public, even if the user cannot modify any other data associated with it."	bla	0	0	0	1	o
I sooo disagree with the first part of this answer! And I do completely agree with nemo comment	nemo	0	0	0	1	o
